id,id_solicitud,fecha,user_id,monto,tipo_resulto
1,9c7fa26c-1717-4346-ab68-a0a029d6149f,2024-04-07 04:04:45.578389,1225,5617.81,rejected_payment_result
2,aa756085-fd88-4c35-935c-c1e109d44919,2023-12-17 05:40:50.650120,9099,859.84,collected_payment_result
3,339a3c73-dafb-48a3-866b-5c013bd151ac,2024-09-30 14:49:40.724287,9979,5703.18,collected_payment_result
4,61f4fd09-5432-4761-8e3e-7fdf91a2593a,2024-03-19 10:18:29.839453,609,6876.47,rejected_payment_result
5,0810310e-c49a-440f-b6d6-559e12d74e9d,2023-10-11 13:15:40.540756,2950,5815.67,collected_payment_result
6,9f351eb0-f617-4917-8ce2-d70300874b4d,2024-03-23 16:10:48.065099,5328,5050.08,rejected_payment_result
7,98565cfd-1221-4613-86ec-688c2c2c76a0,2024-03-09 02:05:23.573364,3348,4570.2,collected_payment_result
8,394b2419-2e8b-413e-bb08-cfe86278aa19,2024-05-20 03:18:11.393948,4213,9727.33,collected_payment_result
9,1a6f8f2e-6f10-4f79-8cd3-cd33b50dddd0,2023-11-25 23:39:27.511778,1007,876.55,collected_payment_result
10,6d5fa85b-4ca2-472c-a428-a74a0a94da59,2024-08-31 16:17:11.069064,4819,3459.28,collected_payment_result
11,dc713056-681a-4acd-9bec-c92c521f9bd2,2023-11-21 22:55:53.794268,2536,4682.92,collected_payment_result
12,fdfdd23f-37a7-4983-bdcf-e7a64c67815e,2024-02-07 07:24:31.710971,4098,3447.2,collected_payment_result
13,cff90689-384f-4392-83a5-fab68a4a15fa,2023-12-06 13:38:19.363368,3051,3481.41,collected_payment_result
14,b47bad59-07ff-4c34-9077-253333657810,2023-12-05 02:38:21.059380,4748,7912.11,collected_payment_result
15,6adb4ded-9fbd-46d0-8349-5c3b4801adf2,2023-10-03 18:54:03.558908,8717,9005.99,collected_payment_result
16,38af26cd-4305-4b91-83f1-51749291edab,2023-11-15 20:04:00.355968,3906,9353.44,collected_payment_result
17,f87334db-905d-45ea-bbce-703bcbd7c794,2024-08-17 00:36:17.222530,48,2172.12,collected_payment_result
18,d0fda6da-6ad6-4f3b-9810-02a22bb416b7,2024-06-16 09:27:30.501107,9875,7778.03,rejected_payment_result
19,35d1460a-fb8b-4fe0-93fc-fc80b3e7860f,2024-05-17 12:28:19.273457,2799,1626.5,collected_payment_result
20,62322379-aa84-4dba-8b0d-e337a906706c,2024-02-08 22:02:01.243245,1710,567.53,chargeback_payment_result
21,883adc77-adea-4422-879d-80ce89ded18d,2024-09-29 02:51:44.138621,5594,6254.48,rejected_payment_result
22,1f8f1665-86d7-4dbe-82ab-1538204704e8,2024-06-10 04:54:34.139166,7878,7937.76,collected_payment_result
23,e56daad3-2d9a-4ea0-9365-9f371225105f,2024-04-05 00:52:19.998001,548,6878.2,collected_payment_result
24,3e9d29a4-45df-4ecc-a8a7-84426dc8c57a,2024-09-18 00:53:32.125431,2528,6910.75,collected_payment_result
25,567ca270-f01f-4b07-96a3-53523dd7eaf0,2024-05-19 03:32:51.701921,8807,4372.62,rejected_payment_result
26,067e3648-804f-46c0-9b71-bfdbbb25edad,2024-05-18 18:44:08.985285,3166,9520.1,rejected_payment_result
27,bf4977ce-a1db-41d3-9649-28d8a08dd047,2024-02-17 15:02:15.595668,9244,6199.95,collected_payment_result
28,e872e8e8-e1e3-4b19-9310-ed5d157226fa,2024-08-07 21:30:56.314392,7861,1288.89,rejected_payment_result
29,3386fa5d-c7ec-4319-a129-e062c27c73f3,2024-02-02 18:12:21.011475,5244,9328.93,collected_payment_result
30,0011c043-e95d-4cc1-8529-66b4028b0238,2023-12-14 13:31:03.253927,3198,2840.75,collected_payment_result
31,bf531a7c-5c23-4d1c-83a9-af553edcb15d,2024-05-07 09:27:06.072288,679,4246.57,collected_payment_result
32,157d6fa4-0364-49e5-9b61-373b80f0be52,2024-01-12 04:16:07.426204,9183,2776.23,collected_payment_result
33,9b5f4703-f176-465a-bdf2-1b17fee28bd6,2024-08-12 14:51:41.403805,8106,515.96,rejected_payment_result
34,0491f093-1ca4-4df1-b7d7-9cd9a84a0a4f,2024-07-07 03:37:51.032265,7663,1267.87,collected_payment_result
35,777188a1-e6f9-4118-ab02-808fb3805e19,2024-04-05 23:18:41.397155,7407,8771.99,collected_payment_result
36,9a1e371b-c289-4e8b-b547-cdf6a93ad1e1,2024-01-31 10:00:15.822128,101,9731.59,collected_payment_result
37,a68e1472-77c3-4b19-ab8c-c43e7d4cbb0a,2024-08-10 13:42:18.032859,1497,7024.05,chargeback_payment_result
38,9aa4d7b7-d25f-4e83-b0ec-a257d5233224,2024-06-27 02:45:17.083565,4003,4577.88,collected_payment_result
39,3f6322eb-954e-4e26-8ec4-76e9d2048e7b,2023-10-26 23:26:28.575361,1988,6018.6,collected_payment_result
40,38030ce4-ede4-48f3-99c6-ab614ae78829,2023-10-19 14:54:56.682760,6790,5321.32,collected_payment_result
41,4830b2f0-7389-4e7d-9860-e1d7fe949927,2024-09-03 19:06:16.136247,7020,8029.23,collected_payment_result
42,10cc9e79-43fa-438c-a5e7-5398e83778bf,2024-08-03 20:02:21.980826,6907,2259.26,rejected_payment_result
43,e3d5055b-cad0-46c5-bcfa-b71a4aa0b75e,2024-04-14 23:04:39.695152,855,8482.96,collected_payment_result
44,6225a2f2-1f5d-4ae7-9a87-e101f4356bc6,2024-05-16 10:11:09.714948,848,416.1,collected_payment_result
45,3747dc71-02c1-48a5-8a74-4325339ecf23,2024-03-24 22:54:01.884276,5203,4157.91,rejected_payment_result
46,cbbcbf0a-6a41-4bf8-8f8e-fdb57f04d2f6,2024-07-20 11:00:47.696054,5642,4351.17,chargeback_payment_result
47,7cae3c86-e0f0-4a03-818f-9dbc5bfda0a3,2024-09-14 02:00:53.947097,5905,7636.13,collected_payment_result
48,5315b5ad-3699-4c2b-9b1b-125f00ebb747,2023-12-15 21:34:48.065478,8231,5511.36,rejected_payment_result
49,2fc73aed-4b7c-46d2-a7b9-4033e15a269a,2024-01-31 00:19:28.901284,9225,1696.38,collected_payment_result
50,eb7122c2-4721-4d91-b63c-a6eea50fb94a,2024-04-10 03:09:29.386695,7765,1541.79,collected_payment_result
51,eb5a9a49-cba7-4a13-8a80-9e63569b7e21,2024-07-20 04:17:00.185531,5701,3628.73,chargeback_payment_result
52,285cbb87-36d2-4df6-a53b-ec6af4f18c1d,2024-03-04 01:39:08.709702,2979,8823.67,collected_payment_result
53,96e8587c-9d81-46c8-ab73-f2b6801a9242,2023-10-10 15:24:48.426574,8613,1688.41,collected_payment_result
54,19590228-3393-40a6-8724-5d0805e910ee,2024-08-22 13:21:57.675733,4739,7128.13,collected_payment_result
55,04c4ec99-b276-494f-bf96-c1df6f064860,2024-08-30 05:19:39.777018,7111,7695.75,rejected_payment_result
56,894d7cfe-3c0c-41e3-a53f-eb337809c49c,2023-10-31 00:57:35.522709,4600,8312.39,collected_payment_result
57,027bbd6f-baa4-4125-b161-3c257e05c0f2,2023-11-23 02:47:21.632684,3348,334.5,collected_payment_result
58,c013891e-7c0a-4dc9-8f98-49881fa80704,2024-03-11 09:33:22.814544,1580,8772.83,rejected_payment_result
59,5d7f8e78-0126-45ee-8964-02d85d2e7f7b,2024-06-10 06:47:35.282183,4565,3602.34,chargeback_payment_result
60,fe2230a2-3990-494c-bd61-efc324349e5a,2023-12-15 01:34:57.917598,7153,8900.86,collected_payment_result
61,8281c30b-fe97-458c-a98e-ab4af6d11048,2024-07-27 17:48:56.514188,8568,8275.44,collected_payment_result
62,c53eaf1d-4189-4cf0-b681-f3b3f39885c2,2024-08-27 22:29:01.041842,6516,5786.43,collected_payment_result
63,70819d7a-0e4f-463d-9cda-c3f331e1b28a,2024-02-20 13:57:43.760514,8955,1013.13,collected_payment_result
64,896a9059-80a0-4339-97e1-db3739f5ff09,2024-06-01 01:42:43.746488,2938,6741.18,collected_payment_result
65,73732bf3-01e6-43e8-a668-34f039019574,2024-03-26 19:14:52.545761,3575,5000.56,collected_payment_result
66,6735a127-5d51-46fa-b9d2-3da912fae35c,2023-12-28 07:43:05.407668,1822,6689.08,rejected_payment_result
67,5bf06e77-ae4f-4375-9bd3-47c84b95b785,2024-01-12 03:00:15.737364,2213,1916.39,rejected_payment_result
68,0171a3c5-e1b9-43a5-92b8-906778af0bea,2024-08-09 02:41:02.956292,9713,6046.18,rejected_payment_result
69,941f4f9b-9711-4b61-8a27-35cee9c617c9,2024-01-08 02:31:39.558074,9640,9780.94,collected_payment_result
70,c62086b8-894e-4616-99c5-1123e8a318d1,2024-01-06 00:19:03.073002,5039,3277.05,collected_payment_result
71,9c66819e-683f-4e92-9f52-0e15d192d948,2023-10-15 23:09:54.717636,7110,5570.06,chargeback_payment_result
